
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
 79      0.15738219581172  2.71e-02      5.95835575058036  1.02e+00     -0.30243293725643 -5.20e-02      5.81330500913566  1.00e+00
 80      2.04701965687342  3.52e-01      7.72843306258856  1.33e+00     -3.96736422029633 -6.83e-01      5.80808849916565  1.00e+00
 81      4.18585851659173  7.21e-01      9.54490097298105  1.64e+00     -7.92653848927668 -1.37e+00      5.80422100029610  1.00e+00
 82     12.28149944336081  2.13e+00     17.38280533031364  3.02e+00    -23.90931739410772 -4.15e+00      5.75498737956674  1.00e+00
 83     20.78738883957900  3.63e+00     23.30083847342918  4.07e+00    -38.36426169260345 -6.70e+00      5.72396562040473  1.00e+00
 84     16.16099957118682  2.85e+00     18.83129586991073  3.32e+00    -29.32669480915269 -5.18e+00      5.66560063194486  1.00e+00
 85      9.62786424730946  1.71e+00     13.08745542151637  2.33e+00    -17.09611115796874 -3.04e+00      5.61920851085709  1.00e+00
 86      3.04831789420311  5.43e-01      7.07948236460323  1.26e+00     -4.51476841707901 -8.04e-01      5.61303184172732  1.00e+00
 87     -4.44331308294802 -7.91e-01      1.24971739738943  2.23e-01      8.80853163743415  1.57e+00      5.61493595187556  1.00e+00
 88     -3.75757273587161 -6.69e-01      1.26564058665819  2.25e-01      8.10719599400378  1.44e+00      5.61526384479035  1.00e+00
 89      2.47131557717974  4.40e-01      3.68582483888395  6.56e-01     -0.54224735670902 -9.66e-02      5.61489305935467  1.00e+00
 90      2.37484355722228  4.23e-01      2.91456693935471  5.19e-01      0.32567280776271  5.80e-02      5.61508330433971  1.00e+00
 91      6.12259552678473  1.09e+00      1.54823313704316  2.76e-01     -2.05575310707298 -3.66e-01      5.61507555675491  1.00e+00
 92      6.11082446639873  1.09e+00      1.49765993795067  2.67e-01     -1.99339459451275 -3.55e-01      5.61508980983666  1.00e+00
 93      5.65438561941035  1.01e+00      0.02970099649292  5.29e-03     -0.06899015207471 -1.23e-02      5.61509646382856  1.00e+00
 94      5.63974708827262  1.00e+00      0.01739076655617  3.10e-03     -0.04204144677079 -7.49e-03      5.61509640805800  1.00e+00
 95      5.65438564724577  1.01e+00      0.02970096755879  5.29e-03     -0.06899015097603 -1.23e-02      5.61509646382854  1.00e+00
 96      6.11082578679113  1.09e+00      1.49765971921417  2.67e-01     -1.99339569616875 -3.55e-01      5.61508980983655  1.00e+00
 97      6.12259531139919  1.09e+00      1.54823265241779  2.76e-01     -2.05575240706209 -3.66e-01      5.61507555675488  1.00e+00
 98      2.37483622293259  4.23e-01      2.91456605648344  5.19e-01      0.32568102492364  5.80e-02      5.61508330433966  1.00e+00
 99      2.47130714440583  4.40e-01      3.68582331113359  6.56e-01     -0.54223739618472 -9.66e-02      5.61489305935470  1.00e+00
100     -3.75757394587208 -6.69e-01      1.26564069689655  2.25e-01      8.10719709376580  1.44e+00      5.61526384479027  1.00e+00
101     -4.44331594298619 -7.91e-01      1.24971599915406  2.23e-01      8.80853589570747  1.57e+00      5.61493595187535  1.00e+00
102      3.04831683972544  5.43e-01      7.07948182263241  1.26e+00     -4.51476682063035 -8.04e-01      5.61303184172751  1.00e+00
103      9.62786406683589  1.71e+00     13.08745567539582  2.33e+00    -17.09611123137475 -3.04e+00      5.61920851085695  1.00e+00
104     16.17276895894042  2.85e+00     18.83356817950434  3.32e+00    -29.34148299687917 -5.18e+00      5.66485414156560  1.00e+00
105     20.91140739007270  3.65e+00     23.40986461803896  4.09e+00    -38.59973670996946 -6.75e+00      5.72153529814220  1.00e+00
106     12.36281037812595  2.15e+00     17.46289358775359  3.04e+00    -24.07307843091778 -4.18e+00      5.75262553496175  1.00e+00
107      4.21373233178966  7.26e-01      9.56939380785168  1.65e+00     -7.98085471852721 -1.38e+00      5.80227142111413  1.00e+00
108      2.06587598588048  3.56e-01      7.74516398131045  1.33e+00     -4.00491028114204 -6.90e-01      5.80612968604889  1.00e+00
109      0.15783598238616  2.72e-02      5.95686998666055  1.03e+00     -0.30332000595080 -5.22e-02      5.81138596309592  1.00e+00
110      0.07264145997756  1.25e-02      5.87986864800486  1.01e+00     -0.14101126824962 -2.43e-02      5.81149883973280  1.00e+00
111      0.00214878524577  3.70e-04      5.81367756911874  1.00e+00     -0.00419955427090 -7.23e-04      5.81162680009361  1.00e+00
112      0.00102410987885  1.76e-04      5.81261447269074  1.00e+00     -0.00201079746798 -3.46e-04      5.81162778510162  1.00e+00
113      0.00004200469779  7.23e-06      5.81167056718203  1.00e+00     -0.00008369228314 -1.44e-05      5.81162887959668  1.00e+00
114      0.00003282073294  5.65e-06      5.81166150931444  1.00e+00     -0.00006544322635 -1.13e-05      5.81162888682104  1.00e+00
115      0.00002797109633  4.81e-06      5.81165667822926  1.00e+00     -0.00005575313837 -9.59e-06      5.81162889618722  1.00e+00
116      0.00001993917738  3.43e-06      5.81164870697096  1.00e+00     -0.00003974635082 -6.84e-06      5.81162889979752  1.00e+00
117      0.00001295836125  2.23e-06      5.81164178370747  1.00e+00     -0.00002583733579 -4.45e-06      5.81162890473293  1.00e+00
118      0.00000892646157  1.54e-06      5.81163777832724  1.00e+00     -0.00001779853284 -3.06e-06      5.81162890625597  1.00e+00
119      0.00000542280903  9.33e-07      5.81163430027612  1.00e+00     -0.00001081493120 -1.86e-06      5.81162890815395  1.00e+00
120      0.00000355474431  6.12e-07      5.81163244321797  1.00e+00     -0.00000708918686 -1.22e-06      5.81162890877541  1.00e+00
